;;;;;;;Theft at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Definitions: ""Theft” means depriving a person or organisation of property without force with the intent to keep it . “Theft” excludes Burglary, housebreaking, Robbery, and Theft of a Motor Vehicle, which are recorded separately.";;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;Republic of Moldova;14.985;12.378;11.506;9.419;9.724;9.642;9.136;13.646;15.060;14.294;15.378;16.729;;359,2;297,1;276,7;227,3;235,5;234,5;223,1;334,1;369,3;350,8;377,5;410,8
;;Romania*;58.472;48.065;43.191;41.624;44.370;39.519;46.431;48.828;47.322;56.732;57.557;164.396;;269,2;222,7;201,8;196,3;211,5;190,5;226,4;240,5;235,3;284,4;290,8;836,6
;;Russian Federation;;1.280.211;1.572.996;1.676.983;1.566.970;1.326.342;1.188.574;1.108.369;1.038.566;992.238;922.562;908.901;;;888,8;1.095,2;1.169,9;1.094,4;926,7;830,4;774,2;725,2;692,5;643,5;633,7
;;Slovakia;28.991;37.818;18.894;32.711;32.383;29.608;27.770;24.464;22.505;20.837;20.708;18.568;;538,4;702,4;350,9;607,1;600,6;548,6;514,1;452,5;415,9;384,8;382,1;342,4
;;Ukraine;264.904;233.736;186.659;132.159;114.665;110.954;175.876;254.755;;;;;;557,8;496,0;398,9;284,2;247,9;241,1;383,8;558,1;;;;
;Northern Europe;Denmark;186.157;182.444;168.120;165.953;176.796;190.042;187.179;191.108;197.482;191.933;188.135;170.892;;3.458,3;3.379,4;3.103,2;3.050,2;3.233,9;3.458,3;3.388,6;3.442,8;3.541,3;3.426,8;3.345,0;3.026,3
;;Estonia;34.215;31.140;30.452;26.615;21.685;22.471;23.901;25.253;20.175;18.628;16.465;15.738;;2.492,2;2.283,7;2.246,3;1.972,4;1.613,2;1.677,0;1.789,0;1.895,7;1.519,1;1.406,9;1.247,3;1.195,7
;;Finland;141.372;131.515;125.081;119.116;118.569;120.214;124.421;121.746;123.818;113.296;117.388;117.372;;2.711,5;2.515,2;2.384,1;2.261,7;2.241,7;2.262,1;2.329,8;2.268,1;2.294,7;2.088,5;2.152,7;2.142,0
;;Iceland;6.398;3.419;3.181;3.457;3.093;4.332;5.114;4.920;4.203;4.147;4.102;;;2.207,5;1.166,6;1.072,0;1.148,9;1.012,7;1.397,3;1.626,9;1.547,0;1.309,2;1.282,3;1.260,6;
;;Ireland;57.870;57.832;58.879;60.839;61.659;62.554;63.902;65.415;66.581;67.954;71.369;69.970;;1.432,1;1.403,8;1.400,6;1.416,9;1.405,0;1.396,2;1.401,8;1.416,7;1.431,0;1.455,8;1.527,8;1.496,6
;;Latvia*;23.397;31.358;24.287;23.364;19.639;23.639;27.067;25.659;;21.341;20.623;20.578;;1.023,1;1.389,4;1.090,3;1.062,4;904,4;1.102,5;1.278,4;1.227,4;;1.047,6;1.025,1;1.034,4
;;Lithuania;29.199;29.137;27.618;24.954;23.107;27.057;28.412;26.530;27.299;23.478;22.856;21.546;;857,3;862,9;826,1;754,9;707,9;840,3;895,6;849,5;889,0;778,3;771,2;738,7
;;Norway;128.162;148.289;138.580;133.505;130.216;126.182;133.420;126.685;125.937;133.492;126.668;112.929;;2.810,0;3.231,2;2.996,7;2.860,6;2.760,8;2.644,4;2.762,1;2.590,0;2.542,2;2.660,1;2.491,8;2.193,7
;;Sweden;389.088;384.749;444.825;415.427;408.774;391.729;385.519;367.965;380.558;379.494;383.038;385.394;;4.350,8;4.283,4;4.926,0;4.571,5;4.465,9;4.245,8;4.143,8;3.921,9;4.021,8;3.976,5;3.979,9;3.971,8
