;;;;;;;Kidnapping at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Definitions: “Kidnapping” means unlawfully detaining a person or persons against their will (including through the use of force, threat, fraud or enticement) for the purpose of demanding for their liberation an illicit gain or any other economic gain or other material benefit, or in order to oblige someone to do or not to do something. “Kidnapping” excludes disputes over child custody. ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;Southern Europe;Albania;;;;13;13;10;5;9;2;2;5;2;;;;;0,4;0,4;0,3;0,2;0,3;0,1;0,1;0,2;0,1
;;Andorra;;;;;0;0;0;0;0;0;0;1;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4
;;Bosnia and Herzegovina;;;7;9;5;8;6;1;1;2;5;3;;;;0,2;0,2;0,1;0,2;0,2;0,0;0,0;0,1;0,1;0,1
;;Croatia;;14;20;7;14;16;12;13;6;6;1;1;;;0,3;0,5;0,2;0,3;0,4;0,3;0,3;0,1;0,1;0,0;0,0
;;Greece;;24;25;28;30;30;16;173;158;139;95;58;;;0,2;0,2;0,3;0,3;0,3;0,1;1,5;1,4;1,3;0,9;0,5
;;Italy;132;154;368;278;364;325;349;351;356;341;325;297;;0,2;0,3;0,6;0,5;0,6;0,5;0,6;0,6;0,6;0,6;0,5;0,5
;;Kosovo under UNSCR 1244;;;;;;46;50;43;31;33;34;22;;;;;;;2,5;2,8;2,4;1,7;1,8;1,8;1,2
;;Malta*;;;;;;0;0;0;0;0;0;0;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0
;;Montenegro;;;;4;2;3;3;2;3;0;1;0;;;;;0,6;0,3;0,5;0,5;0,3;0,5;0,0;0,2;0,0
;;Portugal;;446;438;556;443;492;539;501;507;419;432;376;;;4,3;4,2;5,3;4,2;4,7;5,1;4,7;4,8;4,0;4,1;3,6
;;Serbia;;;26;23;19;16;24;20;9;11;9;11;;;;0,3;0,3;0,2;0,2;0,3;0,2;0,1;0,1;0,1;0,1
;;Slovenia;8;1;3;6;9;7;2;4;2;4;4;5;;0,4;0,1;0,2;0,3;0,4;0,3;0,1;0,2;0,1;0,2;0,2;0,2
;;Spain;;;208;223;216;237;171;127;111;118;121;99;;;;0,5;0,5;0,5;0,5;0,4;0,3;0,2;0,3;0,3;0,2
;;The former Yugoslav Rep. of Macedonia;;;24;24;30;14;16;17;14;19;18;8;;;;1,2;1,2;1,5;0,7;0,8;0,8;0,7;0,9;0,9;0,4
;;Holy See;;;;;;;0;0;0;0;0;0;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0
;Western Europe;Austria;;3;5;4;5;11;5;9;5;11;4;1;;;0,0;0,1;0,0;0,1;0,1;0,1;0,1;0,1;0,1;0,0;0,0
;;Belgium;1.003;1.066;919;915;958;1.013;1.080;1.122;1.194;1.180;1.159;1.118;;9,6;10,2;8,7;8,6;8,9;9,4;9,9;10,3;10,8;10,7;10,4;10,0
;;France;2.031;2.143;2.012;2.288;2.109;2.074;2.085;2.092;2.234;2.117;2.266;2.956;;3,4;3,5;3,3;3,7;3,4;3,3;3,3;3,3;3,5;3,3;3,5;4,6
;;Germany*;;1.830;1.727;1.596;1.825;1.857;5.126;4.897;4.922;5.183;4.964;5.011;;;2,2;2,1;2,0;2,3;2,3;6,4;6,1;6,1;6,4;6,2;6,2
;;Liechtenstein;;;0;0;0;0;0;0;0;0;0;0;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
;;Luxembourg;;;;17;36;33;40;27;47;57;48;52;;;;;3,7;7,6;6,8;8,1;5,3;9,0;10,7;8,8;9,3
;;Monaco;;;0;2;;;;;;;;;;;;0,0;5,8;;;;;;;;
;;Netherlands*;;;910;850;780;760;625;645;560;585;505;400;;;;5,6;5,2;4,7;4,6;3,8;3,9;3,4;3,5;3,0;2,4
;;Switzerland*;263;267;245;274;269;309;359;309;308;295;324;355;;3,6;3,6;3,3;3,7;3,6;4,0;4,6;3,9;3,9;3,7;4,0;4,3
Oceania;Australia and New Zealand;Australia*;;;;;;4.090;3.422;611;676;638;596;550;;;;;;;19,1;15,7;2,8;3,0;2,8;2,6;2,3
;;New Zealand*;;;289;351;338;342;302;229;278;235;198;235;;;;7,0;8,4;8,0;8,0;7,0;5,2;6,3;5,3;4,4;5,2
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
* Changes in definitions and/or counting rules are reported by the Member State to indicate a break in the time series.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
** Data for Canada represent offences of kidnapping and forcible confinement and the data do not permit these to be presented separately.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
