Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value
Bolivia,2003,All genders,Not applicable,Number,26114
Bolivia,2002,All genders,Not applicable,Number,23198
Bolivia,2001,All genders,Not applicable,Number,23027
Bolivia,2000,All genders,Not applicable,Number,20729
Bosnia and Herzegovina,2014,All genders,Not applicable,Number,21368
Bosnia and Herzegovina,2014,Female,Not applicable,Number,12832
Bosnia and Herzegovina,2013,Female,Not applicable,Number,12728
Bosnia and Herzegovina,2013,All genders,Not applicable,Number,21208
Bosnia and Herzegovina,2012,All genders,Not applicable,Number,20244
Bosnia and Herzegovina,2012,Female,Not applicable,Number,12229
Bosnia and Herzegovina,2011,Female,Not applicable,Number,11995
Bosnia and Herzegovina,2011,All genders,Not applicable,Number,19680
Bosnia and Herzegovina,2010,All genders,Not applicable,Number,18012
Bosnia and Herzegovina,2010,Female,Not applicable,Number,10613
Bosnia and Herzegovina,2009,Female,Not applicable,Number,10360
Bosnia and Herzegovina,2009,All genders,Not applicable,Number,17596
Bosnia and Herzegovina,2008,All genders,Not applicable,Number,15767
Bosnia and Herzegovina,2008,Female,Not applicable,Number,9254
Bosnia and Herzegovina,2007,Female,Not applicable,Number,7395
Bosnia and Herzegovina,2007,All genders,Not applicable,Number,12763
Botswana,2014,All genders,Not applicable,Number,15594
Botswana,2013,All genders,Not applicable,Number,6549
Botswana,2002,All genders,Not applicable,Number,1598
Botswana,2001,All genders,Not applicable,Number,1504
Botswana,1999,All genders,Not applicable,Number,1366
Brazil,2014,All genders,Not applicable,Number,1097494
Brazil,2014,Female,Not applicable,Number,665454
Brazil,2012,Female,Not applicable,Number,676014
Brazil,2012,All genders,Not applicable,Number,1111463
Brazil,2011,All genders,Not applicable,Number,1072267
Brazil,2011,Female,Not applicable,Number,651129
Brazil,2010,Female,Not applicable,Number,619798
Brazil,2010,All genders,Not applicable,Number,1024743
Brazil,2009,All genders,Not applicable,Number,1008876
Brazil,2009,Female,Not applicable,Number,613101
Brazil,2008,Female,Not applicable,Number,553448
Brazil,2008,All genders,Not applicable,Number,917111
Brazil,2007,All genders,Not applicable,Number,820473
Brazil,2007,Female,Not applicable,Number,490201
Brazil,2005,Female,Not applicable,Number,468099
Brazil,2005,All genders,Not applicable,Number,757553
Brazil,2004,All genders,Not applicable,Number,662659
Brazil,2004,Female,Not applicable,Number,411999
Brazil,2003,Female,Not applicable,Number,349162
Brazil,2003,All genders,Not applicable,Number,563965
Brazil,2002,All genders,Not applicable,Number,497598
Brazil,2002,Female,Not applicable,Number,309135
Brazil,2001,Female,Not applicable,Number,260011
Brazil,2001,All genders,Not applicable,Number,422019
