;;;;;;;Burglary breaking and entering at the national level, number of police-recorded offences ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Definitions: “Burglary” means gaining unauthorised access to a part of a building/dwelling or other premises, including by use of force, with the intent to steal goods (breaking and entering). “Burglary” should include, where possible, theft from a house, appartment or other dwelling place, factory, shop or office, from a military establishment, or by using false keys. It should exclude theft from a car, from a container, from a vending machine, from a parking meter and from fenced meadow/compound.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Count;;;;;;;;;;;;;Rate per 100,000 population;;;;;;;;;;;
;;Montenegro;2.319;2.469;2.690;2.287;1.965;1.633;1.673;1.381;1.234;1.383;1.181;951;;377,5;401,2;436,4;370,4;317,7;263,5;269,5;222,0;198,1;221,7;189,1;152,1
;;Portugal;46.929;46.413;45.088;45.480;44.713;53.751;49.317;50.650;52.086;43.843;38.390;34.612;;451,1;444,5;430,2;432,5;423,8;508,2;465,7;478,5;493,3;417,0;367,0;332,7
;;Serbia*;;;16.064;14.853;14.247;14.040;14.201;15.177;17.430;17.606;24.729;24.584;;;;174,9;162,2;156,0;154,1;156,3;167,5;193,2;196,0;276,7;276,4
;;Slovenia;16.947;22.460;20.252;18.107;18.544;15.310;15.510;13.430;13.696;14.106;15.370;13.603;;852,3;1.128,1;1.014,4;902,8;919,2;754,0;759,3;654,3;665,2;683,8;744,4;658,4
;;Spain*;;;396.466;383.023;162.783;174.761;191.853;200.388;169.383;162.672;167.320;222.039;;;;904,0;860,0;360,1;381,4;414,4;430,0;362,6;348,8;360,2;480,0
;;The former Yugoslav Rep. of Macedonia;;;8.319;9.055;10.048;11.627;11.500;13.399;14.465;14.985;15.109;13.108;;;;407,2;442,3;489,8;565,7;558,5;649,7;700,2;724,2;729,0;631,5
;;Holy See;;;;;;;0;0;0;0;0;0;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0
;Western Europe;Austria;;137.270;115.526;106.032;104.860;104.296;107.407;88.508;84.277;85.238;88.703;85.487;;;1.674,7;1.402,9;1.282,2;1.263,2;1.251,8;1.284,6;1.054,7;1.000,5;1.008,1;1.045,2;1.003,7
;;Belgium;97.007;86.598;86.408;93.249;92.572;93.363;97.121;96.620;103.149;108.109;105.518;101.749;;930,4;825,3;818,1;877,1;864,8;866,1;894,8;884,0;937,3;975,8;946,1;906,3
;;France*;407.585;388.968;355.343;346.044;322.237;307.744;320.418;323.954;341.895;360.587;381.454;376.608;;674,1;639,1;580,2;561,7;520,0;493,9;511,5;514,5;540,4;567,3;597,5;587,3
;;Germany;437.097;443.010;396.125;387.578;394.737;390.367;386.647;397.341;421.243;430.211;437.520;446.073;;535,9;544,1;487,6;478,2;488,2;483,9;480,2;494,0;523,8;534,6;543,1;553,1
;;Liechtenstein;127;130;101;138;115;107;195;102;98;140;125;222;;370,4;376,1;289,8;392,7;324,6;299,5;541,6;281,2;268,2;380,5;337,5;595,4
;;Luxembourg;;;;2.845;3.146;2.789;2.951;2.413;3.579;3.163;3.399;4.368;;;;;611,1;662,7;575,0;594,7;475,1;688,3;594,0;623,8;784,8
;;Monaco;133;121;63;78;;;;;;;;;;403,5;362,9;186,3;226,8;;;;;;;;
;;Netherlands;;;307.770;300.815;295.380;287.645;283.785;292.585;304.045;300.035;291.270;254.155;;;;1.884,5;1.834,1;1.794,2;1.741,2;1.712,1;1.759,2;1.821,7;1.791,3;1.732,8;1.506,7
;;Switzerland*;68.551;70.370;61.194;56.706;57.493;55.688;64.268;62.243;65.172;73.714;68.730;63.706;;940,4;958,0;826,0;758,1;760,5;728,3;830,6;794,9;822,3;918,8;846,6;775,8
Oceania;Australia and New Zealand;Australia*;354.020;308.675;281.994;262.005;249.552;241.760;222.664;208.099;209.140;215.006;194.530;181.875;;1.793,8;1.544,5;1.390,9;1.271,5;1.189,7;1.131,3;1.022,8;939,0;927,8;938,4;836,0;769,9
;;New Zealand;;;57.923;61.437;58.230;59.326;61.405;59.323;59.518;52.937;52.247;;;;;1.400,9;1.467,1;1.374,0;1.384,4;1.418,4;1.357,8;1.351,3;1.193,4;1.170,1;
;Melanesia;Solomon Islands;;308;495;432;410;381;;;;;;;;;67,3;105,5;89,9;83,3;75,7;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Please note that when using the figures, any cross-national comparisons should be conducted with caution because of the differences that exist between the legal definitions of offences in countries, or the different methods of offence counting and recording.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
* Changes in definitions and/or counting rules are reported by the Member State to indicate a break in the time series.;;;;;;;;;;;;;;;;;;;;;;;;;;;
